"Year","Team","GP","W","L","Tie","Pts","GF","GA","PIM","Att.","Coach","Playoff","OTL","SOL"
1997,"Boston Bruins",82,26,47,9,61,234,300,1369,15550,"Steve Kasper","Out of Playoffs",NA,NA
1997,"Colorado Avalanche",82,49,24,9,107,277,205,1361,16061,"Marc Crawford","Lost in round 3",NA,NA
1997,"Anaheim Mighty Ducks",82,36,33,13,85,245,233,1710,16972,"Ron Wilson","Lost in round 2",NA,NA
1997,"Edmonton Oilers",82,36,37,9,81,252,247,1368,16052,"Ron Low","Lost in round 2",NA,NA
1997,"Vancouver Canucks",82,35,40,7,77,257,273,1607,17320,"Tom Renney","Out of Playoffs",NA,NA
1997,"Calgary Flames",82,32,41,9,73,214,239,1444,17088,"Pierre Page","Out of Playoffs",NA,NA
1997,"Los Angeles Kings",82,28,43,11,67,214,268,1638,12297,"Larry Robinson","Out of Playoffs",NA,NA
1997,"San Jose Sharks",82,27,47,8,62,211,278,2085,17420,"Al Sims","Out of Playoffs",NA,NA
1998,"New Jersey Devils",82,48,23,11,107,225,166,1488,17296,"Jacques Lemaire","Lost in round 1",NA,NA
1998,"Philadelphia Flyers",82,42,29,11,95,242,193,1766,19518,"Cashman, Neilson {+}","Lost in round 1",NA,NA
1998,"Washington Capitals",82,40,30,12,92,219,202,1198,15275,"Ron Wilson","Lost in Finals",NA,NA
1998,"New York Islanders",82,30,41,11,71,212,225,1646,12253,"Bowness, Milbury {+}","Out of Playoffs",NA,NA
1998,"New York Rangers",82,25,39,18,68,197,231,1548,18189,"Campbell, Muckler {+}","Out of Playoffs",NA,NA
1998,"Florida Panthers",82,24,43,15,63,203,256,1676,14703,"MacLean, Murray {+}","Out of Playoffs",NA,NA
1998,"Tampa Bay Lightning",82,17,55,10,44,151,269,1823,13866,"Crisp, Paterson, Demers {+}","Out of Playoffs",NA,NA
1998,"Dallas Stars",82,49,22,11,109,242,167,1301,16489,"Ken Hitchcock","Lost in round 3",NA,NA
1998,"Detroit Red Wings",82,44,23,15,103,250,196,1346,19983,"William ""Scotty"" Bowman","Won Championship",NA,NA
1998,"St. Louis Blues",82,45,29,8,98,256,204,1414,18414,"Joel Quenneville","Lost in round 2",NA,NA
1998,"Phoenix Coyotes",82,35,35,12,82,224,227,1602,15404,"Jim Schoenfeld","Lost in round 1",NA,NA
1998,"Chicago Blackhawks",82,30,39,13,73,192,199,1546,18350,"Craig Hartsburg","Out of Playoffs",NA,NA
1998,"Toronto Maple Leafs",82,30,43,9,69,194,237,1481,15707,"Mike Murphy","Out of Playoffs",NA,NA
1998,"Pittsburgh Penguins",82,40,24,18,98,228,188,1225,15070,"Kevin Constantine","Lost in round 1",NA,NA
1998,"Boston Bruins",82,39,30,13,91,221,194,1117,15097,"Pat Burns","Lost in round 1",NA,NA
1998,"Buffalo Sabres",82,36,29,17,89,211,187,1768,15634,"Lindy Ruff","Lost in round 3",NA,NA
1998,"Montreal Canadiens",82,37,32,13,87,235,208,1547,20771,"Alain Vigneault","Lost in round 2",NA,NA
1998,"Ottawa Senators",82,34,33,15,83,193,200,1091,16750,"Jacques Martin","Lost in round 2",NA,NA
1998,"Carolina Hurricanes",82,33,41,8,74,200,219,1455,9106,"Paul Maurice","Out of Playoffs",NA,NA
1998,"Colorado Avalanche",82,39,26,17,95,231,205,1729,16061,"Marc Crawford","Lost in round 1",NA,NA
1998,"Los Angeles Kings",82,38,33,11,87,227,225,1763,13019,"Larry Robinson","Lost in round 1",NA,NA
1998,"Edmonton Oilers",82,35,37,10,80,215,224,1690,16244,"Ron Low","Lost in round 2",NA,NA
1998,"San Jose Sharks",82,34,38,10,78,210,216,1417,17111,"Darryl Sutter","Lost in round 1",NA,NA
1998,"Calgary Flames",82,26,41,15,67,217,252,1859,16864,"Brian Sutter","Out of Playoffs",NA,NA
1998,"Anaheim Mighty Ducks",82,26,43,13,65,205,261,1843,16908,"Pierre Page","Out of Playoffs",NA,NA
1998,"Vancouver Canucks",82,25,43,14,64,224,273,2166,16957,"Renney, Keenan {+}","Out of Playoffs",NA,NA
1999,"New Jersey Devils",82,47,24,11,105,248,196,1355,16670,"Robbie Ftorek","Lost in round 1",NA,NA
1999,"Philadelphia Flyers",82,37,26,19,93,231,196,1075,19612,"Roger Neilson","Lost in round 1",NA,NA
1999,"Pittsburgh Penguins",82,38,30,14,90,242,225,977,14824,"Kevin Constantine","Lost in round 2",NA,NA
1999,"New York Rangers",82,33,38,11,77,217,227,1087,18200,"John Muckler","Out of Playoffs",NA,NA
1999,"New York Islanders",82,24,48,10,58,194,244,1111,11299,"Milbury, Stewart {+}","Out of Playoffs",NA,NA
1999,"Detroit Red Wings",82,43,32,7,93,245,202,1202,19983,"William ""Scotty"" Bowman","Lost in round 2",NA,NA
1999,"St. Louis Blues",82,37,32,13,87,237,209,1308,18276,"Joel Quenneville","Lost in round 2",NA,NA
1999,"Chicago Blackhawks",82,29,41,12,70,202,248,1807,17329,"Graham, Molleken {+}","Out of Playoffs",NA,NA
1999,"Nashville Predators",82,28,47,7,63,190,261,1420,16194,"Barry Trotz","Out of Playoffs",NA,NA
1999,"Ottawa Senators",82,44,23,15,103,239,179,892,17219,"Jacques Martin","Lost in round 1",NA,NA
1999,"Toronto Maple Leafs",82,45,30,7,97,268,231,1095,16765,"Pat Quinn","Lost in round 3",NA,NA
1999,"Boston Bruins",82,39,30,13,91,214,181,1182,16299,"Pat Burns","Lost in round 2",NA,NA
1999,"Buffalo Sabres",82,37,28,17,91,207,175,1561,17982,"Lindy Ruff","Lost in Finals",NA,NA
1999,"Montreal Canadiens",82,32,39,11,75,184,209,1299,20740,"Alain Vigneault","Out of Playoffs",NA,NA
1999,"Colorado Avalanche",82,44,28,10,98,239,205,1619,16059,"Bob Hartley","Lost in round 3",NA,NA
1999,"Edmonton Oilers",82,33,37,12,78,230,226,1373,16244,"Ron Low","Lost in round 1",NA,NA
1999,"Calgary Flames",82,30,40,12,72,211,234,1389,16010,"Brian Sutter","Out of Playoffs",NA,NA
1999,"Vancouver Canucks",82,23,47,12,58,192,258,1764,15802,"Keenan, Crawford {+}","Out of Playoffs",NA,NA
1999,"Dallas Stars",82,51,19,12,114,236,168,1108,16907,"Ken Hitchcock","Won Championship",NA,NA
1999,"Phoenix Coyotes",82,39,31,12,90,205,197,1412,15547,"Jim Schoenfeld","Lost in round 1",NA,NA
1999,"Anaheim Mighty Ducks",82,35,34,13,83,215,206,1323,15804,"Craig Hartsburg","Lost in round 1",NA,NA
1999,"San Jose Sharks",82,31,33,18,80,196,191,1423,16903,"Darryl Sutter","Lost in round 1",NA,NA
1999,"Los Angeles Kings",82,32,45,5,69,189,222,1383,12795,"Larry Robinson","Out of Playoffs",NA,NA
1999,"Carolina Hurricanes",82,34,30,18,86,210,202,1158,8187,"Paul Maurice","Lost in round 1",NA,NA
1999,"Florida Panthers",82,30,34,18,78,210,228,1522,18493,"Terry Murray","Out of Playoffs",NA,NA
1999,"Washington Capitals",82,31,45,6,68,200,218,1381,17281,"Ron Wilson","Out of Playoffs",NA,NA
1999,"Tampa Bay Lightning",82,19,54,9,47,179,292,1316,11510,"Jacques Demers","Out of Playoffs",NA,NA
2000,"Philadelphia Flyers",82,45,22,12,105,237,179,1233,19634,"Roger Neilson","Lost in round 3",3,NA
2000,"New Jersey Devils",82,45,24,8,103,251,203,1313,15206,"Ftorek, Robinson {+}","Won Championship",5,NA
2000,"Pittsburgh Penguins",82,37,31,8,88,241,236,1221,15443,"Constantine, Brooks {+}","Lost in round 2",6,NA
2000,"New York Rangers",82,29,38,12,73,218,246,916,18200,"Muckler, Tortorella {+}","Out of Playoffs",3,NA
2000,"New York Islanders",82,24,48,9,58,194,275,1376,9748,"Robert ""Butch"" Goring","Out of Playoffs",1,NA
2000,"St. Louis Blues",82,51,19,11,114,248,165,1139,18590,"Joel Quenneville","Lost in round 1",1,NA
2000,"Detroit Red Wings",82,48,22,10,108,278,210,1014,19983,"William ""Scotty"" Bowman","Lost in round 2",2,NA
2000,"Chicago Blackhawks",82,33,37,10,78,242,245,1444,16274,"Molleken, Pulford {+}","Out of Playoffs",2,NA
2000,"Nashville Predators",82,28,40,7,70,199,240,946,16599,"Barry Trotz","Out of Playoffs",7,NA
2000,"Toronto Maple Leafs",82,45,27,7,100,246,222,1103,19158,"Pat Quinn","Lost in round 2",3,NA
2000,"Ottawa Senators",82,41,28,11,95,244,210,850,17508,"Jacques Martin","Lost in round 1",2,NA
2000,"Buffalo Sabres",82,35,32,11,85,213,204,1173,17955,"Lindy Ruff","Lost in round 1",4,NA
2000,"Montreal Canadiens",82,35,34,9,83,196,194,1067,20205,"Alain Vigneault","Out of Playoffs",4,NA
2000,"Boston Bruins",82,24,33,19,73,210,248,865,16322,"Pat Burns","Out of Playoffs",6,NA
2000,"Colorado Avalanche",82,42,28,11,96,233,201,1118,17889,"Bob Hartley","Lost in round 3",1,NA
2000,"Edmonton Oilers",82,32,26,16,88,226,212,1344,15800,"Kevin Lowe","Lost in round 1",8,NA
2000,"Vancouver Canucks",82,30,29,15,83,227,237,1047,14641,"Marc Crawford","Out of Playoffs",8,NA
2000,"Calgary Flames",82,31,36,10,77,211,256,1267,15320,"Brian Sutter","Out of Playoffs",5,NA
2000,"Dallas Stars",82,43,23,10,102,211,184,1029,17001,"Ken Hitchcock","Lost in Finals",6,NA
2000,"Los Angeles Kings",82,39,27,12,94,245,228,1313,16518,"Andy Murray","Lost in round 1",4,NA
2000,"Phoenix Coyotes",82,39,31,8,90,232,228,940,14991,"Bob Francis","Lost in round 1",4,NA
2000,"San Jose Sharks",82,35,30,10,87,225,214,1292,17290,"Darryl Sutter","Lost in round 2",7,NA
2000,"Anaheim Mighty Ducks",82,34,33,12,83,217,227,926,14460,"Craig Hartsburg","Out of Playoffs",3,NA
2000,"Washington Capitals",82,44,24,12,102,227,194,994,14485,"Ron Wilson","Lost in round 1",2,NA
2000,"Florida Panthers",82,43,27,6,98,244,209,1329,15981,"Terry Murray","Lost in round 1",6,NA
2000,"Carolina Hurricanes",82,37,35,10,84,217,216,799,12400,"Paul Maurice","Out of Playoffs",0,NA
2000,"Tampa Bay Lightning",82,19,47,9,54,204,310,1733,13600,"Steve Ludzik","Out of Playoffs",7,NA
2000,"Atlanta Thrashers",82,14,57,7,39,170,313,1422,17206,"Curt Fraser","Out of Playoffs",4,NA
2001,"New Jersey Devils",82,48,19,12,111,295,195,1235,15642,"Larry Robinson","Lost in Finals",3,NA
2001,"Philadelphia Flyers",82,43,25,11,100,240,207,1183,19575,"Ramsay, Barber {+}","Lost in round 1",3,NA
2001,"Pittsburgh Penguins",82,42,28,9,96,281,256,1585,16277,"Ivan Hlinka","Lost in round 3",3,NA
2001,"New York Rangers",82,33,43,5,72,250,290,1522,18200,"Ron Low","Out of Playoffs",1,NA
2001,"New York Islanders",82,21,51,7,52,185,268,1339,11332,"Goring, Henning {+}","Out of Playoffs",3,NA
2001,"Detroit Red Wings",82,49,20,9,111,253,202,1082,19995,"William ""Scotty"" Bowman","Lost in round 1",4,NA
2001,"St. Louis Blues",82,43,22,12,103,249,195,1345,19519,"Joel Quenneville","Lost in round 3",5,NA
2001,"Nashville Predators",82,34,36,9,80,186,200,944,15767,"Barry Trotz","Out of Playoffs",3,NA
2001,"Chicago Blackhawks",82,29,40,8,71,210,246,1001,14996,"Alpo Suhonen","Out of Playoffs",5,NA
2001,"Columbus Blue Jackets",82,28,39,9,71,190,233,1234,17457,"Dave King","Out of Playoffs",6,NA
2001,"Ottawa Senators",82,48,21,9,109,274,205,1062,17793,"Jacques Martin","Lost in round 1",4,NA
2001,"Buffalo Sabres",82,46,30,5,98,218,184,1249,17839,"Lindy Ruff","Lost in round 2",1,NA
2001,"Toronto Maple Leafs",82,37,29,11,90,232,207,1430,19257,"Pat Quinn","Lost in round 2",5,NA
2001,"Boston Bruins",82,36,30,8,88,227,249,1325,15432,"Burns, Keenan {+}","Out of Playoffs",8,NA
2001,"Montreal Canadiens",82,28,40,8,70,206,232,1020,20105,"Vigneault, Therrien {+}","Out of Playoffs",6,NA
2001,"Colorado Avalanche",82,52,16,10,118,270,192,1138,18007,"Bob Hartley","Won Championship",4,NA
2001,"Edmonton Oilers",82,39,28,12,93,243,222,1287,15611,"Craig MacTavish","Lost in round 1",3,NA
2001,"Vancouver Canucks",82,36,28,11,90,239,238,1113,17026,"Marc Crawford","Lost in round 1",7,NA
2001,"Calgary Flames",82,27,36,15,73,197,236,1376,16622,"Hay, Gilbert {+}","Out of Playoffs",4,NA
2001,"Minnesota Wild",82,25,39,13,68,168,210,1200,18328,"Jacques Lemaire","Out of Playoffs",5,NA
2001,"Dallas Stars",82,48,24,8,106,241,187,1041,17001,"Ken Hitchcock","Lost in round 2",2,NA
2001,"San Jose Sharks",82,40,27,12,95,217,192,1364,17468,"Darryl Sutter","Lost in round 1",3,NA
2001,"Los Angeles Kings",82,38,28,13,92,252,228,1196,16057,"Andy Murray","Lost in round 2",3,NA
2001,"Phoenix Coyotes",82,35,27,17,90,214,212,1337,14224,"Bob Francis","Out of Playoffs",3,NA
2001,"Anaheim Mighty Ducks",82,25,41,11,66,188,245,1136,13499,"Hartsburg, Charron {+}","Out of Playoffs",5,NA
2001,"Washington Capitals",82,41,27,10,96,233,211,1141,15534,"Ron Wilson","Lost in round 1",4,NA
2001,"Carolina Hurricanes",82,38,32,9,88,212,225,1083,13355,"Paul Maurice","Lost in round 1",3,NA
2001,"Florida Panthers",82,22,38,13,66,200,246,1509,14679,"Murray, Sutter {+}","Out of Playoffs",9,NA
2001,"Atlanta Thrashers",82,23,45,12,60,211,289,1500,15262,"Curt Fraser","Out of Playoffs",2,NA
2001,"Tampa Bay Lightning",82,24,47,6,59,201,280,1404,14906,"Ludzik, Tortorella {+}","Out of Playoffs",5,NA
2002,"Philadelphia Flyers",82,42,27,10,97,234,192,1242,19569,"Bill Barber","Lost in round 1",3,NA
2002,"New York Islanders",82,42,28,8,96,239,220,1255,14548,"Peter Laviolette","Lost in round 1",4,NA
2002,"New Jersey Devils",82,41,28,9,95,205,187,1010,15925,"Robinson, Constantine {+}","Lost in round 1",4,NA
2002,"New York Rangers",82,36,38,4,80,227,258,1753,18038,"Ron Low","Out of Playoffs",4,NA
2002,"Pittsburgh Penguins",82,28,41,8,69,198,249,1248,15649,"Hlinka, Kehoe {+}","Out of Playoffs",5,NA
2002,"Detroit Red Wings",82,51,17,10,116,251,187,1053,20058,"William ""Scotty"" Bowman","Won Championship",4,NA
2002,"St. Louis Blues",82,43,27,8,98,227,188,1343,18968,"Joel Quenneville","Lost in round 2",4,NA
2002,"Chicago Blackhawks",82,41,27,13,96,216,207,1234,15568,"Brian Sutter","Lost in round 1",1,NA
2002,"Nashville Predators",82,28,41,13,69,196,230,1071,14788,"Barry Trotz","Out of Playoffs",0,NA
2002,"Columbus Blue Jackets",82,22,47,8,57,164,255,1198,18136,"Dave King","Out of Playoffs",5,NA
2002,"Boston Bruins",82,43,24,6,101,236,201,1454,15403,"Robbie Ftorek","Lost in round 1",9,NA
2002,"Toronto Maple Leafs",82,43,25,10,100,249,207,1212,19279,"Pat Quinn","Lost in round 3",4,NA
2002,"Ottawa Senators",82,39,27,9,94,243,208,1347,16919,"Neilson, Martin {+}","Lost in round 2",7,NA
2002,"Montreal Canadiens",82,36,31,12,87,207,209,974,20027,"Michel Therrien","Lost in round 2",3,NA
2002,"Buffalo Sabres",82,35,35,11,82,213,200,1217,17206,"Lindy Ruff","Out of Playoffs",1,NA
2002,"Colorado Avalanche",82,45,28,8,99,212,169,1007,18007,"Bob Hartley","Lost in round 3",1,NA
2002,"Vancouver Canucks",82,42,30,7,94,254,211,1342,17712,"Marc Crawford","Lost in round 1",3,NA
2002,"Edmonton Oilers",82,38,28,12,92,205,182,1267,16592,"Craig MacTavish","Out of Playoffs",4,NA
2002,"Calgary Flames",82,32,35,12,79,201,220,1586,15718,"Greg Gilbert","Out of Playoffs",3,NA
2002,"Minnesota Wild",82,26,35,12,73,195,238,1209,18455,"Jacques Lemaire","Out of Playoffs",9,NA
2002,"San Jose Sharks",82,44,27,8,99,248,199,1249,17422,"Darryl Sutter","Lost in round 2",3,NA
2002,"Los Angeles Kings",82,40,27,11,95,214,190,1348,16756,"Andy Murray","Lost in round 1",4,NA
2002,"Phoenix Coyotes",82,40,27,9,95,228,210,1154,13165,"Bob Francis","Lost in round 1",6,NA
2002,"Dallas Stars",82,36,28,13,90,215,213,959,18532,"Hitchcock, Wilson {+}","Out of Playoffs",5,NA
2002,"Anaheim Mighty Ducks",82,29,42,8,69,175,198,1254,12002,"Bryan Murray","Out of Playoffs",3,NA
2002,"Carolina Hurricanes",82,35,26,16,91,217,217,1022,15508,"Paul Maurice","Lost in Finals",5,NA
2002,"Washington Capitals",82,36,33,11,85,228,240,1043,17341,"Ron Wilson","Out of Playoffs",2,NA
2002,"Tampa Bay Lightning",82,27,40,11,69,178,219,1072,15722,"John Tortorella","Out of Playoffs",4,NA
2002,"Florida Panthers",82,22,44,10,60,180,250,1994,16074,"Sutter, Keenan {+}","Out of Playoffs",6,NA
2002,"Atlanta Thrashers",82,19,47,11,54,187,288,1290,13668,"Curt Fraser","Out of Playoffs",5,NA
2003,"New Jersey Devils",82,46,20,10,108,216,166,938,14858,"Pat Burns","Won Championship",6,NA
2003,"Philadelphia Flyers",82,45,20,13,107,211,166,1003,19325,"Ken Hitchcock","Lost in round 2",4,NA
2003,"New York Islanders",82,35,34,11,83,224,231,1244,14930,"Peter Laviolette","Lost in round 1",2,NA
2003,"New York Rangers",82,32,36,10,78,210,231,1308,18148,"Trottier, Sather {+}","Out of Playoffs",4,NA
2003,"Pittsburgh Penguins",82,27,44,6,65,189,255,1125,14750,"Rick Kehoe","Out of Playoffs",5,NA
2003,"Detroit Red Wings",82,48,20,10,110,269,203,1214,20058,"Dave Lewis","Lost in round 1",4,NA
2003,"St. Louis Blues",82,41,24,11,99,253,222,1618,18570,"Joel Quenneville","Lost in round 1",6,NA
2003,"Chicago Blackhawks",82,30,33,13,79,207,226,1189,14794,"Brian Sutter","Out of Playoffs",6,NA
2003,"Nashville Predators",82,27,35,13,74,183,206,969,13228,"Barry Trotz","Out of Playoffs",7,NA
2003,"Columbus Blue Jackets",82,29,42,8,69,213,263,1505,17744,"King, MacLean {+}","Out of Playoffs",3,NA
2003,"Ottawa Senators",82,52,21,8,113,263,182,1135,17198,"Jacques Martin","Lost in round 3",1,NA
2003,"Toronto Maple Leafs",82,44,28,7,98,236,208,1390,19240,"Pat Quinn","Lost in round 1",3,NA
2003,"Boston Bruins",82,36,31,11,87,245,237,1370,15029,"Ftorek, O'Connell {+}","Lost in round 1",4,NA
2003,"Montreal Canadiens",82,30,35,8,77,206,234,900,20672,"Therrien, Julien {+}","Out of Playoffs",9,NA
2003,"Buffalo Sabres",82,27,37,10,72,190,219,1276,13776,"Lindy Ruff","Out of Playoffs",8,NA
2003,"Colorado Avalanche",82,42,19,13,105,251,194,1084,18007,"Hartley, Granato {+}","Lost in round 1",8,NA
2003,"Vancouver Canucks",82,45,23,13,104,264,208,1178,18396,"Marc Crawford","Lost in round 2",1,NA
2003,"Minnesota Wild",82,42,29,10,95,198,178,1063,18500,"Jacques Lemaire","Lost in round 3",1,NA
2003,"Edmonton Oilers",82,36,26,11,92,231,230,1203,16657,"Craig MacTavish","Lost in round 1",9,NA
2003,"Calgary Flames",82,29,36,13,75,186,228,1391,16239,"Gilbert, MacNeil, Sutter {+}","Out of Playoffs",4,NA
2003,"Dallas Stars",82,46,17,15,111,245,169,1166,18532,"Dave Tippett","Lost in round 2",4,NA
2003,"Anaheim Mighty Ducks",82,40,27,9,95,203,193,954,13988,"Mike Babcock","Lost in Finals",6,NA
2003,"Los Angeles Kings",82,33,37,6,78,203,221,1146,17569,"Andy Murray","Out of Playoffs",6,NA
2003,"Phoenix Coyotes",82,31,35,11,78,204,230,1433,13229,"Bob Francis","Out of Playoffs",5,NA
2003,"San Jose Sharks",82,28,37,9,73,214,239,1112,17350,"Sutter, Raeder, Wilson {+}","Out of Playoffs",8,NA
2003,"Tampa Bay Lightning",82,36,25,16,93,219,210,1079,16545,"John Tortorella","Lost in round 2",5,NA
2003,"Washington Capitals",82,39,29,8,92,224,220,1268,15787,"Bruce Cassidy","Lost in round 1",6,NA
2003,"Atlanta Thrashers",82,31,39,7,74,226,284,1253,13476,"Fraser, Waddell, Hartley {+}","Out of Playoffs",5,NA
2003,"Florida Panthers",82,24,36,13,70,176,237,1127,15428,"Mike Keenan","Out of Playoffs",9,NA
2003,"Carolina Hurricanes",82,22,43,11,61,171,240,1208,15682,"Paul Maurice","Out of Playoffs",6,NA
2004,"Philadelphia Flyers",82,40,21,15,101,229,186,1357,19375,"Ken Hitchcock","Lost in round 3",6,NA
2004,"New Jersey Devils",82,43,25,12,100,213,164,894,15059,"Pat Burns","Lost in round 1",2,NA
2004,"New York Islanders",82,38,29,11,91,237,210,1168,13693,"Steve Stirling","Lost in round 1",4,NA
2004,"New York Rangers",82,27,40,7,69,206,250,1459,18080,"Sather, Renney {+}","Out of Playoffs",8,NA
2004,"Pittsburgh Penguins",82,23,47,8,58,190,303,1270,11877,"Ed Olczyk","Out of Playoffs",4,NA
2004,"Detroit Red Wings",82,48,21,11,109,255,189,966,20066,"Dave Lewis","Lost in round 2",2,NA
2004,"St. Louis Blues",82,39,30,11,91,191,198,1274,18560,"Quenneville, Kitchen {+}","Lost in round 1",2,NA
2004,"Nashville Predators",82,38,29,11,91,216,217,1360,13157,"Barry Trotz","Lost in round 1",4,NA
2004,"Columbus Blue Jackets",82,25,45,8,62,177,238,1209,17369,"MacLean, Gallant {+}","Out of Playoffs",4,NA
2004,"Chicago Blackhawks",82,20,43,11,59,188,259,1318,13253,"Brian Sutter","Out of Playoffs",8,NA
2004,"Boston Bruins",82,41,19,15,104,209,188,1208,15133,"Mike Sullivan","Lost in round 1",7,NA
2004,"Toronto Maple Leafs",82,45,24,10,103,242,204,1452,19376,"Pat Quinn","Lost in round 2",3,NA
2004,"Ottawa Senators",82,43,23,10,102,262,189,1270,17758,"Jacques Martin","Lost in round 1",6,NA
2004,"Montreal Canadiens",82,41,30,7,93,208,192,1039,20555,"Claude Julien","Lost in round 2",4,NA
2004,"Buffalo Sabres",82,37,34,7,85,220,221,1289,15290,"Lindy Ruff","Out of Playoffs",4,NA
2004,"Vancouver Canucks",82,43,24,10,101,235,194,1274,18630,"Marc Crawford","Lost in round 1",5,NA
2004,"Colorado Avalanche",82,40,22,13,100,236,198,1293,18007,"Tony Granato","Lost in round 2",7,NA
2004,"Calgary Flames",82,42,30,7,94,200,176,1428,16579,"Darryl Sutter","Lost in Finals",3,NA
2004,"Edmonton Oilers",82,36,29,12,89,221,208,1220,17677,"Craig MacTavish","Out of Playoffs",5,NA
2004,"Minnesota Wild",82,30,29,20,83,188,183,1035,18530,"Jacques Lemaire","Out of Playoffs",3,NA
2004,"San Jose Sharks",82,43,21,12,104,219,183,1091,15835,"Ron Wilson","Lost in round 3",6,NA
2004,"Dallas Stars",82,41,26,13,97,194,175,1143,18355,"Dave Tippett","Lost in round 1",2,NA
2004,"Los Angeles Kings",82,28,29,16,81,205,217,1163,17889,"Andy Murray","Out of Playoffs",9,NA
2004,"Anaheim Mighty Ducks",82,29,35,10,76,184,213,1131,14987,"Mike Babcock","Out of Playoffs",8,NA
2004,"Phoenix Coyotes",82,22,36,18,68,188,245,1300,15467,"Francis, Bowness {+}","Out of Playoffs",6,NA
2004,"Tampa Bay Lightning",82,46,22,8,106,245,192,985,17820,"John Tortorella","Won Championship",6,NA
2004,"Atlanta Thrashers",82,33,37,8,78,214,243,1505,15121,"Bob Hartley","Out of Playoffs",4,NA
2004,"Carolina Hurricanes",82,28,34,14,76,172,209,1102,12330,"Maurice, Laviolette {+}","Out of Playoffs",6,NA
2004,"Florida Panthers",82,28,35,15,75,188,221,1192,15936,"Keenan, Dudley, Torchetti {+}","Out of Playoffs",4,NA
2004,"Washington Capitals",82,23,46,10,59,186,253,1282,14720,"Cassidy, Hanlon {+}","Out of Playoffs",3,NA
2006,"Philadelphia Flyers",82,45,26,NA,101,267,259,1201,19653,"Ken Hitchcock","Lost in round 1",5,6
2006,"New Jersey Devils",82,46,27,NA,101,242,229,948,14230,"Robinson, Lamoriello {+}","Lost in round 2",5,4
2006,"New York Rangers",82,44,26,NA,100,257,215,1194,18142,"Tom Renney","Lost in round 1",8,4
2006,"New York Islanders",82,36,40,NA,78,230,278,1266,12609,"Stirling, Shaw {+}","Out of Playoffs",3,3
2006,"Pittsburgh Penguins",82,22,46,NA,58,244,316,1559,15804,"Olczyk, Therrien {+}","Out of Playoffs",8,6
2006,"Detroit Red Wings",82,58,16,NA,124,305,209,1117,20064,"Mike Babcock","Lost in round 1",5,3
2006,"Nashville Predators",82,49,25,NA,106,259,227,1533,14428,"Barry Trotz","Lost in round 1",5,3
2006,"Columbus Blue Jackets",82,35,43,NA,74,223,279,1416,16796,"Gerard Gallant","Out of Playoffs",1,3
2006,"Chicago Blackhawks",82,26,43,NA,65,211,285,1544,13318,"Trent Yawney","Out of Playoffs",7,6
2006,"St. Louis Blues",82,21,46,NA,57,197,292,1373,14213,"Mike Kitchen","Out of Playoffs",7,8
2006,"Ottawa Senators",82,52,21,NA,113,314,211,1462,19474,"Bryan Murray","Lost in round 2",3,6
2006,"Buffalo Sabres",82,52,24,NA,110,281,239,1164,16886,"Lindy Ruff","Lost in round 3",1,5
2006,"Montreal Canadiens",82,42,31,NA,93,243,247,1336,21273,"Julien, Gainey {+}","Lost in round 1",6,3
2006,"Toronto Maple Leafs",82,41,33,NA,90,257,270,1398,19408,"Pat Quinn","Out of Playoffs",1,7
2006,"Boston Bruins",82,29,37,NA,74,230,266,1174,16211,"Mike Sullivan","Out of Playoffs",8,8
2006,"Calgary Flames",82,46,25,NA,103,218,200,1482,19289,"Darryl Sutter","Lost in round 1",4,7
2006,"Edmonton Oilers",82,41,28,NA,95,256,251,1204,16832,"Craig MacTavish","Lost in Finals",4,9
2006,"Colorado Avalanche",82,43,30,NA,95,283,257,1178,18007,"Joel Quenneville","Lost in round 2",3,6
2006,"Vancouver Canucks",82,42,32,NA,92,256,255,1477,18630,"Marc Crawford","Out of Playoffs",4,4
2006,"Minnesota Wild",82,38,36,NA,84,231,215,1209,18575,"Jacques Lemaire","Out of Playoffs",5,3
2006,"Dallas Stars",82,53,23,NA,112,265,218,1496,17828,"Dave Tippett","Lost in round 1",5,1
2006,"San Jose Sharks",82,44,27,NA,99,266,242,1058,16831,"Ron Wilson","Lost in round 2",4,7
2006,"Anaheim Mighty Ducks",82,43,27,NA,98,254,229,1459,15131,"Randy Carlyle","Lost in round 3",5,7
2006,"Los Angeles Kings",82,42,35,NA,89,249,270,1474,17839,"Murray, Torchetti {+}","Out of Playoffs",4,1
2006,"Phoenix Coyotes",82,38,39,NA,81,246,271,1511,15582,"Wayne Gretzky","Out of Playoffs",2,3
2006,"Carolina Hurricanes",82,52,22,NA,112,294,260,1125,15596,"Peter Laviolette","Won Championship",6,2
2006,"Tampa Bay Lightning",82,43,33,NA,92,252,260,959,20509,"John Tortorella","Lost in round 1",2,4
2006,"Atlanta Thrashers",82,41,33,NA,90,281,275,1344,15550,"Bob Hartley","Out of Playoffs",3,5
2006,"Florida Panthers",82,37,34,NA,85,240,257,1279,16014,"Jacques Martin","Out of Playoffs",6,5
2006,"Washington Capitals",82,29,41,NA,70,237,306,1499,13905,"Glen Hanlon","Out of Playoffs",6,6
2007,"New Jersey Devils",82,49,24,NA,107,216,201,830,14176,"Claude Julien","Lost in round 2",1,8
2007,"Pittsburgh Penguins",82,47,24,NA,105,277,246,1249,16424,"Michel Therrien","Lost in round 1",5,6
